,index,class_name
436,437,URBAN ENVIRONMENTAL DESIGN
437,438,16MM FILM PRODUCTION
438,439,THE DEVIL'S PACT
439,440,OPTICS & MODERN PHYSICS
440,441,HISPANIC LIT/POP CULTR
441,442,FOUNDATIONS US AIR FORCE
442,443,FIRST-YEAR CHINESE II
443,444,MEDIA ARABIC I
444,445,MEASURE & INTEGRATION
445,446,GLOBALIZATION OF DEMOCRACY
446,447,INTRO TO GERMAN LIT
447,448,SP. TOPICS IN LANG & LIT
448,449,THE GREAT AMERICAN MUSICAL
449,450,WEB-BASED MULTIMEDIA COMMUNIC
450,451,BALLET IV
451,452,"DENIAL, FAITH, REASON"
452,453,FALL INDEPENDENT STUDY
453,454,PROBLEM SOLVING SEMINAR
454,455,ECON ANALYSIS OF ENERGY ISSUES
455,456,PURSUIT OF PURPOSE
456,457,GLOBAL ART SINCE 1945
457,458,THE LAW AND LANGUAGE
458,459,NEWS WRITING AND REPORTING
459,460,LAB CALC/FUNCTIONS I
460,461,RUSSIAN FICTION/FILM
461,462,LINEAR ALGEBRA & APPLICA
462,463,BALLET II
463,464,DUKE-ADM ST ABR
464,465,ISLAM IN THE AMERICAS
465,466,"FOOD, FARMING, AND FEMINISM"
466,467,REGRESSION ANALYSIS
467,468,INTERMEDIATE MICROECONOMICS I
468,469,ELEMENTARY JAPANESE
469,470,DIET AND NUTRITION
470,471,"ANTITRUST LAW, POLITICS & ECON"
471,472,AMERICAN DEMOCRACY
472,473,GTWY SEM: PREMODERN DISEASE
473,474,BEHAVIORAL ASPECTS OF HEALTH
474,475,THE AEGEAN BRONZE AGE
475,476,ELEC FUND OF MECHATRONICS
476,477,CRIME AND THE CITY
477,478,ANALYTICAL CHEMISTRY LAB
478,479,STATISTICS
479,480,HOLLYWOOD AND AFRICA
480,481,ELEMENTARY SPANISH 1
481,482,HIP-HOP/RAP MUSIC APPRECIATION
482,483,MYSTICAL LITERATURE
483,484,TECH AND ORG ENVIRONMENTS
484,485,ISSUES IN JAPANESE LANG/SOC I
485,486,"LANGUAGE, LESIONS AND LOSS"
486,487,SP TOP: INTRO TO LIT
487,488,SP TOPICS IN CREATIVE WRITING
488,489,SOFTWARE DESIGN/IMPLEMEN
489,490,INDEPENDENT STUDY
490,491,HUMAN COGNITIVE EVOLUTION
491,492,INTRO COMPUTATIONAL GENOMICS
492,493,EUROPEAN ART 1760-1850
493,494,"HASHTAGS MEMES, DIGITAL TRIBES"
494,495,THE RUSSIAN INTELLIGENTSIA
495,496,ISSUES EDUCATION/IMMIGRATION
496,497,AUDIOVISUAL CULTURES
497,498,ORGANIZA/GLOBAL COMPETIT
498,499,INTRO TO ENVIRON SCI/POL
499,500,"INTRO TO IR: SEC, PEACE & CONF"
500,501,GLHLTH: SOCIAL DETERMINANTS
501,502,ECONOMIC PRINCIPLES
502,503,"LEFT, RIGHT, AND CENTER"
503,504,ADVANCED CHINESE
504,505,EXISTENTIALISM
505,506,METHODS SOCIAL RESEARCH
506,507,AMERICAN LIT TO 1820
507,508,"TRAUMA & MENTAL HEALTH, HAITI"
508,509,INTERMEDIATE RUSSIAN I
509,510,THE SOUTH IN BLACK AND WHITE
510,511,ELEMENTARY HINDI
511,512,SOCIAL BEHAV/PERSONALITY
512,513,LITERACY IN CHINESE I
513,514,INTERMEDIATE SPANISH
514,515,GLOBAL CORRUPTION
515,516,INTERMEDIATE MICROECONOMICS II
516,517,DRUGS IN THE US
517,518,CHINA ANTIQUITY TO 1400
518,519,CONVERSATION I HNRS
519,520,INTRO EXPERIMENTAL PHYSICS I
520,521,SPIKE LEE/QUENTIN TARANTINO
521,522,SUSTAINABILITY THEORY/PRACTICE
522,523,ELEMENTARY SPANISH 2
523,524,ECO/POL PERFORM. CIVILIZATIONS
524,525,STOCHASTIC CALCULUS
525,526,BODIES OF EVIDENCE
526,527,"GENDER, SEXUALITY, & THE IMAGE"
527,528,MUSIC AND MODERNISM
528,529,US RACIAL ATTITUDES & POLITICS
529,530,HUMAN DEVELOPMENT
530,531,REVOLUTION NOVEL/NOVEL REVOL
531,532,INTRODUCTION TO VISUAL CULTURE
532,533,POL CHOICE/VAL CONFLICT
533,534,BUILDING GLOBAL AUDIENCES
534,535,INTRODUCTION TO ECONOMETRICS
535,536,TOPICS IN ECONOMIC THEORY
536,537,SPEC TOP IN POL INSTITUTIONS
537,538,MEDIEVAL CULTURES
538,539,LEARNING TO FAIL
539,540,BUDDHIST MEDITATION
540,541,SP TOP INNOV & ENTREPRENEUR
541,542,ENTREPRENEURSHIP
542,543,INTRODUCTION TO GLOBAL HISTORY
543,544,WORLD OF KOREAN CINEMA
544,545,DECISION NEUROSCIENCE
545,546,INTRO TO POLITICAL ECONOMY
546,547,AMES SPEC TOPICS-FOCUS PROGRAM
547,548,ACCEL ELEM PORTUGUESE
548,549,INTERMEDIATE HINDI
549,550,COMPLEX ANALYSIS
550,551,EDUCATIONAL PSYCHOLOGY
551,552,PHILOSOPHY OF SPORT
552,553,GLOBALIZATION/CORP CITIZENSHIP
553,554,BUSINESS IN LITERATURE
554,555,MOTION DESIGN
555,556,FINANCIAL INSTITUTIONS
556,557,GLOBAL CULTURE
557,558,MODERN CHINESE CINEMA
558,559,PRIMATE CONSERVATION
559,560,VOICE/BODY GESTURE THEATER
560,561,ORD AND PRTL DIFF EQUATIONS
561,562,ANTHROPOLOGY OF SPORTS
562,563,AFRICA AND ARABIA
563,564,ADVANCED LEVANTINE ARABIC
564,565,SPECIAL TOPICS IN POLSCI
565,566,SCREENWRITING
566,567,PROBABIL/STATIS IN EGR
567,568,HUMAN RIGHTS IN ISLAM
568,569,INTERMEDIATE CHINESE
569,570,SILENT FILM
570,571,FOOD IN GLOBAL HISTORY
571,572,VIOLIN
572,573,ENTREPRENEURIAL OPP. AND FINAN
573,574,MODERN DANCE III
574,575,CHILDREN AND ILLNESS
575,576,DUKE-ADM ST ABR: ADV TOP
576,577,ELEMENTARY FRENCH 2
577,578,"ARTIFICIAL LIFE, CULT & EVOLUT"
578,579,PARIS: CAPITAL OF 19C
579,580,INVENTING SICKNESS
580,581,SURFACE OF THE EARTH
581,582,LATIN AMER: COLONIALISM
582,583,CAPSTONE SEMINAR IN ICS
583,584,ADVANCED JAPANESE
584,585,INTRO WRITING FILM/TV
585,586,ADV CHN: HERITAGE LEARNERS
586,587,MUSIC HISTORY I: TO 1625
587,588,SPECIAL TOPICS IN JAZZ
588,589,PAMUK & WORLD LITERATURE
589,590,SP TOP IN LANG & LIT
590,591,SONGWRITER'S VOCABULARY
591,592,"SLAVERY, GENOCIDE & TERROR"
592,593,INTRO AMER POL THOUGHT
593,594,ADVANCED EXPRESSION
594,595,ART/ARCHAELOGY ANCIENT ATHENS
595,596,CHINESE PHILOSOPHY
596,597,COMPUTER ORGANIZA/PROG
597,598,ADV SPANISH WRITING
598,599,HST OF IMPRESSIONISM
599,600,INTRODUCTION TO REAL ANALYSIS
600,601,NEUROSCIENCE / HUMAN LANGUAGE
601,602,SP TOP CRITICISM/THEORY/METH
602,603,FOLLOW THE RUBLE
603,604,CONNECTIONS IN ENERGY: PROJECT
604,605,MATTERS OF LIFE AND DEATH
605,606,TUDOR/STUART BRITAIN
606,607,STATISTICS OF CAUSAL STUDIES
607,608,QUEER CHINA
608,609,EDUCATIONAL LEADERSHIP
609,610,HST ANCIENT PHILOSOPHY
610,611,BAYESIAN AND MODERN STATISTICS
611,612,NIGHTMARE JAPAN
612,613,LAW & GENOMIC SCIENCES
613,614,SPECIAL FIELDS SEMINAR (TOP)
614,615,INTENSIVE FIRST-YEAR GERMAN
615,616,GLOBAL INEQUALITY RESEARCH
616,617,INTERMEDIATE FINANCE
617,618,IMPERIAL RUSSIA 1700-1917
618,619,FUNDAMENTALS NEUROSCI
619,620,INTRODUCTION TO COMPOSITION
620,621,PROBLEMS IN PHIL OF SCIENCE
621,622,ETHICS OF INFECTIOUS DISEASE
622,623,AMERICAN MUSICALS
623,624,EXPERIMENTAL INTERFACE DESIGN
624,625,ANCIENT ATHLETES
625,626,ANIME: FORMS AND MUTATIONS
626,627,PLANTS AND HUMAN USE
627,628,ETHNIC CONFLICT
628,629,PHILOSOPHY OF MIND
629,630,COMP APPR GLOBAL ISSUES
630,631,HISTORY OF ECONOMIC THOUGHT
631,632,INTERMED MODERN HEBREW
632,633,PSYCHOLOGY SPORT & PERFORMANCE
633,634,SNAPSHOTS OF ROME
634,635,WOMEN'S HEALTH ISSUES
635,636,NEUROSCIENCE & MULTILINGUALISM
636,637,INTELLECTUAL PROP & INNOVATION
637,638,"JEWISH HISTORY, 1492-PRESENT"
638,639,GLOBAL HEALTH SYSTEMS
639,640,ACOUSTICS AND MUSIC
640,641,STUDY OF SEXUALITIES
641,642,INTRO TO AI
642,643,CAPOEIRA: DANCE/MARTIAL ART
643,644,INTRO TO PHILOSOPHY
644,645,GLOBAL RESPONSES RISE OF CHINA
645,646,AFRICAN AMERICAN LIT
646,647,PERFORMANCE AND TECHNOLOGY
647,648,CURRENT ISSUES (TOPICS)
648,649,SP TOPICS:INTRO TO LITERATURE
649,650,SPECIAL TOPICS IN DOC STUDIES
650,651,HISPANIC CIVILIZATION (TOP)
651,652,CONTEMPORARY NOVEL
652,653,COMBINATORICS
653,654,"RACE, GENDER, AND SEXUALITY"
654,655,LAB CALC/FUNCTIONS II
655,656,ADVANCED INTRO PROBABILITY
656,657,ORGANISMAL EVOLUTION
657,658,FINANCIAL MRKTS GLOBAL ECONOMY
